nom;insee;nb_poi;nb_hotels_3_etoiles_min;lat_centre;long_centre
Sincey-lès-Rouvray;21608;3;0;47.43345108620075;4.131031716506643
Sommant;71527;1;0;47.053364639291004;4.209645513961576
Tavernay;71535;3;3;47.007850917499205;4.235371379706944
Tharoiseau;89409;2;2;47.46350778027064;3.813036000898728
Thil-sur-Arroux;71537;1;0;46.804105871634015;4.092125017150344
Thoisy-la-Berchère;21629;2;3;47.26055217337578;4.332006962117993
Uchon;71551;5;0;46.809110092044;4.26277763327652
Vauclaix;58305;1;0;47.22736096710826;3.818109011028727
Vézelay;89446;16;2;47.45245395127393;3.710588454406222
Vianges;21675;2;0;47.1657435342208;4.324160733934827
Vic-sous-Thil;21678;13;0;47.36701416559078;4.317675687571592
Villapourçon;58309;6;0;46.938059532315336;3.956527097918907
Villargoix;21687;0;3;47.29233713995685;4.290853273006082
Villiers-en-Morvan;21703;0;0;47.14323636481725;4.259885821539362
